hQuasiFermiPotential,X
none,none
-0.11904544,0.12951209
-0.11904499,0.1295121
2.1120087,0.13436511
2.1120091,0.13436513
2.1651694,0.13679162
2.1651611,0.13679163
2.2167901,0.13921814
2.2167901,0.13921815
2.2319144,0.14
2.2319144,0.14
2.2632009,0.14164466
2.3029857,0.14407116
2.3029857,0.14407118
0.98419742,0.14649767
0.98420169,0.14649768
2.4095475,0.14892419
2.4095474,0.1489242
0.9915627,0.15180981
0.99156273,0.15180983
2.5355977,0.15469545
2.5355976,0.15469547
0.98854363,0.15758108
0.98853947,0.15758109
2.6432011,0.15999998
2.6432053,0.16
2.6432053,0.16
2.6489859,0.16046673
0.9913205,0.16335234
0.9913247,0.16335236
2.7597334,0.16623797
2.7597293,0.16623798
0.99613156,0.1691236
0.99613607,0.16912362
2.8746126,0.17200923
2.8746195,0.17200924
0.99599446,0.17778049
0.99599482,0.17778051
-0.11904109,0.18355176
-0.1190408,0.18355177
-0.1190408,0.18932302
-0.11904055,0.18932304
0.96613807,0.19509429
0.96612579,0.1950943
-0.11905284,0.20195748
-0.11903983,0.20195751
3.3996838,0.2088207
3.399684,0.20882073
3.4494708,0.21568391
3.449471,0.21568394
-0.11903936,0.22254711
-0.11903921,0.22254714
1.0136435,0.22941034
1.0136299,0.22941037
3.6195465,0.23627354
3.6195507,0.23627357
3.6525469,0.24313676
3.6525568,0.24313679
3.669098,0.24999997
3.6690882,0.25
-0.11904861,0.25707936
-0.11904859,0.25707939
3.7464116,0.26415876
3.7464073,0.26415879
3.7703364,0.27123818
3.7703406,0.27123821
3.7845782,0.27831757
3.7845782,0.2783176
3.7972197,0.29247633
3.7972199,0.29247639
3.7936153,0.30663514
3.7936255,0.3066352
1.0005757,0.3266587
1.0005757,0.32665879
3.7279884,0.34668225
3.727978,0.34668234
1.0011732,0.36670583
1.0011832,0.36670592
-0.11903858,0.37671769
-0.11905284,0.37671772
3.6433605,0.38672948
3.6433746,0.38672951
3.6305515,0.40088826
3.6305417,0.40088832
1.0239946,0.41504708
1.0240043,0.41504714
-0.11903887,0.42920586
-0.11903893,0.42920592
