Phosphorus,X
SELECTED,none
0,-1.1503092
0,-1.0784149
0,-1.0065205
0,-0.97057337
0,-0.93462622
0,-0.89867908
0,-0.86273193
0,-0.79083759
0,-0.75489044
0,-0.71894324
0,-0.68299609
0,-0.64704895
0,-0.62907535
0,-0.61110175
0,-0.5931282
0,-0.58414137
0,-0.5751546
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
0,-0.55000067
0,-0.54819423
0,-0.54594755
0,-0.54370081
0,-0.54145414
0,-0.53920746
0,-0.53696072
0,-0.53471404
0,-0.53246737
0,-0.53022063
0,-0.52572727
0,-0.52123386
0,-0.51224709
0,-0.50775367
0,-0.50326025
0,-0.50101358
0,-0.4987669
0,-0.49652019
0,-0.49427348
0,-0.49202681
0,-0.4897801
0,-0.48753339
0,-0.48528671
0,-0.48304
0,-0.4807933
0,-0.47854662
0,-0.47629991
0,-0.4740532
0,-0.47180653
0,-0.46955982
0,-0.46731311
0,-0.46506643
0,-0.46281973
0,-0.46057302
0,-0.45832634
0,-0.45607963
0,-0.45383292
0,-0.45158625
0,-0.44933954
0,-0.44709283
0,-0.44484615
0,-0.44259945
0,-0.44035274
0,-0.43810606
0,-0.43585935
0,-0.43361264
0,-0.43136597
0,-0.42911926
0,-0.42687255
0,-0.42462587
0,-0.42237917
0,-0.42013246
0,-0.41788578
0,-0.41563907
0,-0.41339236
0,-0.41114569
0,-0.40889898
0,-0.40665227
0,-0.40440559
0,-0.40215889
0,-0.39991218
0,-0.3976655
0,-0.39541879
0,-0.39317209
0,-0.39092541
0,-0.3886787
0,-0.38643199
0,-0.38418531
0,-0.38193861
0,-0.3796919
0,-0.37744522
0,-0.37519851
0,-0.37295181
0,-0.37070513
0,-0.36845842
0,-0.36621171
0,-0.36396503
0,-0.36171833
0,-0.35947162
0,-0.35722494
0,-0.35497823
0,-0.35048485
0,-0.34599143
0,-0.34149805
0,-0.33251125
0,-0.32352448
0,-0.30555087
0,-0.2875773
0,-0.25163013
0,-0.21568298
0,-0.17973581
0,-0.14378865
0,-0.12581506
0,-0.10784149
0,-0.089867905
0,-0.080881119
0,-0.071894325
0,-0.067400932
0,-0.062907532
0,-0.058414139
0,-0.053920746
0,-0.051674046
0,-0.049999967
5.6497111e+15,-0.049999967
5.816816e+15,-0.049427349
6.8735597e+15,-0.047180653
7.9326861e+15,-0.044933952
1.0801186e+16,-0.040440559
1.4657948e+16,-0.035947163
1.7043691e+16,-0.033700466
1.9390885e+16,-0.031453766
1.4586904e+15,-0.03000034
4.3749335e+16,-0.03000034
1.3249262e+16,-0.029207069
1.2718414e+16,-0.026960373
1.408146e+16,-0.024713675
1.5590878e+16,-0.022466976
1.9049802e+16,-0.017973581
2.3163498e+16,-0.013480186
2.8014679e+16,-0.0089867907
3.3681388e+16,-0.0044933953
3.6418531e+16,-0.0022466977
6.2692504e+13,0
6.2619137e+16,0
6.6897888e+16,0.0015792151
7.1315091e+16,0.0031584301
8.0343493e+16,0.0063168602
8.9172176e+16,0.0094752898
9.7497851e+16,0.01263372
1.0726376e+17,0.016711237
1.1587517e+17,0.020788755
1.3005768e+17,0.02894379
1.4504313e+17,0.039471895
1.5733555e+17,0.050000001
1.6895988e+17,0.063726433
1.7531649e+17,0.077452868
1.7695624e+17,0.093776435
1.7606127e+17,0.10193822
1.7426277e+17,0.1101
1.7120821e+17,0.11980605
1.6939677e+17,0.12465908
1.6741563e+17,0.1295121
1.6527827e+17,0.13436513
1.6415406e+17,0.13679163
1.6299343e+17,0.13921815
1.6261178e+17,0.14
1.6261178e+17,0.14
1.6179675e+17,0.14164466
1.6056411e+17,0.14407118
1.5929547e+17,0.14649768
1.5799061e+17,0.1489242
1.5639127e+17,0.15180983
1.5473946e+17,0.15469547
1.5303428e+17,0.15758109
1.5156306e+17,0.16
1.5156306e+17,0.16
1.5127473e+17,0.16046673
1.4945999e+17,0.16335236
1.4758912e+17,0.16623798
1.4566135e+17,0.16912362
1.4367609e+17,0.17200924
1.3953195e+17,0.17778051
1.3515621e+17,0.18355177
1.3055375e+17,0.18932304
1.2573489e+17,0.1950943
1.197434e+17,0.20195751
1.135053e+17,0.20882073
1.0706705e+17,0.21568394
1.0048285e+17,0.22254714
9.3812383e+16,0.22941037
8.7118257e+16,0.23627357
8.0463525e+16,0.24313679
7.3909341e+16,0.25
6.7314078e+16,0.25707939
6.0943617e+16,0.26415879
5.4847445e+16,0.27123821
4.9066953e+16,0.2783176
3.8551391e+16,0.29247639
2.9592217e+16,0.3066352
1.9601713e+16,0.32665879
1.2449655e+16,0.34668234
7.6013544e+15,0.36670592
5.8391119e+15,0.37671772
4.4452106e+15,0.38672951
2.9878573e+15,0.40088832
1.9761354e+15,0.41504714
1.2874102e+15,0.42920592
8.2759496e+14,0.44336474
5.2636984e+14,0.45752355
3.3253002e+14,0.47168237
2.0974867e+14,0.48584118
1.3299227e+14,0.5
