Boron,X
none,none
7.1643142e+18,0.26238894
6.9537708e+18,0.26415879
6.7658672e+18,0.26592863
6.5780503e+18,0.2676985
6.4087311e+18,0.26946837
6.2394921e+18,0.27123821
6.0869545e+18,0.27300805
5.9344901e+18,0.27477789
5.7964454e+18,0.27654773
5.6584662e+18,0.2783176
5.4186047e+18,0.28185731
5.1788521e+18,0.28539699
4.9765619e+18,0.28893667
4.7743531e+18,0.29247639
4.6013947e+18,0.2960161
4.428493e+18,0.29955581
4.2767289e+18,0.30309552
4.1250011e+18,0.3066352
3.9388255e+18,0.3116411
3.7526709e+18,0.31664699
3.5898115e+18,0.32165289
3.4269437e+18,0.32665879
3.153083e+18,0.33667058
2.8791308e+18,0.34668234
2.4492086e+18,0.36670592
2.0189068e+18,0.38672951
1.7708894e+18,0.40088832
1.5225673e+18,0.41504714
1.3153361e+18,0.42920595
1.107858e+18,0.44336474
9.4063719e+17,0.45752355
7.7328586e+17,0.47168237
6.4494511e+17,0.48584118
5.1660763e+17,0.5
4.2884205e+17,0.5131579
3.4117482e+17,0.52631581
2.7900678e+17,0.53947371
2.1699219e+17,0.55263162
1.7503642e+17,0.56578952
1.3325249e+17,0.57894742
1.1799088e+17,0.58552635
1.0281224e+17,0.59210533
9.0709852e+16,0.59868425
7.8685636e+16,0.60526317
6.5335223e+16,0.61513162
5.208945e+16,0.62500006
4.2934552e+16,0.6348685
3.3866623e+16,0.64473689
2.7718575e+16,0.65460527
2.1639983e+16,0.66447371
1.7598165e+16,0.67434216
1.3609911e+16,0.68421054
1.1005839e+16,0.69407892
8.4418351e+15,0.70394737
6.7850824e+15,0.71381581
5.1573974e+15,0.72368425
4.5685949e+15,0.72861844
3.9911398e+15,0.73355263
3.5301714e+15,0.73848689
3.0786516e+15,0.74342108
2.7184689e+15,0.74835527
2.366114e+15,0.75328946
2.0851164e+15,0.75822365
1.8105749e+15,0.7631579
1.505784e+15,0.77055919
1.2085092e+15,0.77796054
1.0015438e+15,0.78536189
8.0009209e+14,0.79276317
6.6109311e+14,0.80016446
5.260857e+14,0.80756581
4.3377029e+14,0.81496716
3.4430775e+14,0.82236844
2.8349438e+14,0.82976973
2.2469758e+14,0.83717108
1.8473327e+14,0.84457242
1.4618102e+14,0.85197371
1.201961e+14,0.859375
9.5185785e+13,0.86677635
7.8392724e+13,0.87417763
6.2266117e+13,0.88157892
5.1569926e+13,0.88898027
4.1323752e+13,0.89638156
3.4508669e+13,0.90378284
2.7996582e+13,0.91118419
2.3571833e+13,0.91858554
1.9352703e+13,0.92598683
1.6409879e+13,0.93338811
1.3608484e+13,0.94078946
1.1641629e+13,0.94819081
9.7723815e+12,0.9555921
8.4525013e+12,0.96299338
7.2003276e+12,0.97039473
5.789781e+12,0.98519737
4.4550962e+12,1
3.7553069e+12,1.03125
3.0970776e+12,1.0625
2.9116127e+12,1.09375
2.7377483e+12,1.125
2.70416e+12,1.1875
2.6728833e+12,1.25
2.6715448e+12,1.375
2.6703045e+12,1.5
2.6702805e+12,1.625
2.670258e+12,1.75
2.6702554e+12,1.875
2.670253e+12,2
2.6702515e+12,2.125
2.6702501e+12,2.25
2.6702491e+12,2.375
2.6702481e+12,2.5
2.6702474e+12,2.625
2.6702468e+12,2.75
2.6702463e+12,2.875
2.6702459e+12,3
2.6702455e+12,3.125
2.6702452e+12,3.25
2.670245e+12,3.375
2.6702448e+12,3.5
2.6702446e+12,3.625
2.6702445e+12,3.75
2.6702444e+12,3.875
2.6702443e+12,4
2.6702442e+12,4.125
2.6702441e+12,4.25
2.670244e+12,4.375
2.670244e+12,4.5
2.6702439e+12,4.625
2.6702439e+12,4.75
2.6702439e+12,4.875
2.6702438e+12,5
2.6702438e+12,5.125
2.6702438e+12,5.25
2.6702438e+12,5.375
2.6702438e+12,5.5
2.6702437e+12,5.625
2.6702437e+12,5.75
2.6702437e+12,5.875
2.6702437e+12,6
2.6702437e+12,6.125
2.6702437e+12,6.25
2.6702437e+12,6.375
2.6702437e+12,6.5
2.6702437e+12,6.625
2.6702437e+12,6.75
2.6702437e+12,6.875
2.6702437e+12,7
2.6702436e+12,7.125
2.6702436e+12,7.25
2.6702436e+12,7.375
2.6702436e+12,7.5
2.6702436e+12,7.625
2.6702436e+12,7.75
2.6702436e+12,7.875
2.6702436e+12,8
2.6702436e+12,8.125
2.6702436e+12,8.25
2.6702436e+12,8.375
2.6702436e+12,8.5
2.6702436e+12,8.625
2.6702436e+12,8.75
2.6702436e+12,8.875
2.6702436e+12,9
2.6702436e+12,9.125
2.6702436e+12,9.25
2.6702436e+12,9.375
2.6702436e+12,9.5
2.6702436e+12,9.625
2.6702436e+12,9.75
2.6702436e+12,9.875
2.6702436e+12,10
2.6702436e+12,10.125
2.6702436e+12,10.25
2.6702436e+12,10.375
2.6702436e+12,10.5
2.6702436e+12,10.625
2.6702436e+12,10.75
2.6702436e+12,10.875
2.6702436e+12,11
2.6702436e+12,11.125
2.6702436e+12,11.25
2.6702436e+12,11.375
2.6702436e+12,11.5
2.6702436e+12,11.625
2.6702436e+12,11.75
2.6702436e+12,11.875
2.6702436e+12,12
2.6702436e+12,12.125
2.6702436e+12,12.25
2.6702436e+12,12.375
2.6702436e+12,12.5
2.6702436e+12,12.625
2.6702436e+12,12.75
2.6702436e+12,12.875
2.6702436e+12,13
2.6702436e+12,13.125
2.6702436e+12,13.25
2.6702436e+12,13.375
2.6702436e+12,13.5
2.6702436e+12,13.625
2.6702436e+12,13.75
2.6702436e+12,13.875
2.6702436e+12,14
2.6702436e+12,14.125
2.6702436e+12,14.25
2.6702436e+12,14.375
2.6702436e+12,14.5
2.6702436e+12,14.625
2.6702436e+12,14.75
2.6702436e+12,14.875
2.6702436e+12,15
2.6702436e+12,15.125
2.6702436e+12,15.25
2.6702436e+12,15.375
2.6702436e+12,15.5
2.6702436e+12,15.625
2.6702436e+12,15.75
2.6702436e+12,15.875
2.6702436e+12,16
2.6702436e+12,16.125
2.6702436e+12,16.25
2.6702436e+12,16.375
2.6702436e+12,16.5
2.6702436e+12,16.625
2.6702436e+12,16.75
2.6702436e+12,16.875
2.6702436e+12,17
2.6702436e+12,17.125
2.6702436e+12,17.25
2.6702436e+12,17.375
2.6702436e+12,17.5
2.6702436e+12,17.625
2.6702436e+12,17.75
2.6702436e+12,17.875
2.6702436e+12,18
2.6702435e+12,18.125
2.6702435e+12,18.25
2.6702435e+12,18.375
2.6702435e+12,18.5
2.6702436e+12,18.625
2.6702436e+12,18.75
2.6702436e+12,18.875
2.6702436e+12,19
2.6702436e+12,19.125
2.6702436e+12,19.25
2.6702436e+12,19.375
2.6702436e+12,19.5
2.6702436e+12,19.625
2.6702436e+12,19.75
2.6702436e+12,19.875
2.6702436e+12,20

