ElectricField,X
none,none
197989.7,0.15999998
197989.68,0.16
197989.68,0.16
192169.58,0.16046673
188554.37,0.16335234
188554.35,0.16335236
182312.82,0.16623797
182312.8,0.16623798
176112.62,0.1691236
176112.6,0.16912362
166879.83,0.17200923
166879.8,0.17200924
157857.75,0.17778049
157857.72,0.17778051
146028.11,0.18355176
146028.06,0.18355177
134531.01,0.18932302
134530.97,0.18932304
122362.18,0.19509429
122362.13,0.1950943
110710.47,0.20195748
110710.42,0.20195751
98627.661,0.2088207
98627.615,0.20882073
87197.612,0.21568391
87197.569,0.21568394
76446.645,0.22254711
76446.605,0.22254714
66392.467,0.22941034
66392.429,0.22941037
57044.573,0.23627354
57044.537,0.23627357
48404.688,0.24313676
48404.655,0.24313679
40345.305,0.24999997
40345.275,0.25
33004.113,0.25707936
33004.086,0.25707939
26255.245,0.26415876
26255.22,0.26415879
20197.657,0.27123818
20197.635,0.27123821
12174.562,0.27831757
12174.534,0.2783176
5981.4729,0.29247633
5981.4546,0.29247639
3186.5969,0.30663514
3186.591,0.3066352
8409.8247,0.3266587
8409.8378,0.32665879
12552.225,0.34668225
12552.238,0.34668234
14467.234,0.36670583
14467.241,0.36670592
15604.818,0.37671769
15604.822,0.37671772
16110.116,0.38672948
16110.118,0.38672951
16315.12,0.40088826
16315.121,0.40088832
16349.692,0.41504708
16349.692,0.41504714
16203.582,0.42920586
16203.582,0.42920592
15936.926,0.44336468
15936.925,0.44336474
15591.979,0.45752349
15591.977,0.45752355
15197.768,0.47168231
15197.767,0.47168237
14773.794,0.48584113
14773.792,0.48584118
14346.032,0.49999994
14346.03,0.5
13918.649,0.51315784
13918.647,0.5131579
13497.674,0.52631575
13497.672,0.52631581
13076.26,0.53947365
13076.259,0.53947371
12656.216,0.55263156
12656.214,0.55263162
12238.731,0.56578946
12238.729,0.56578952
11655.879,0.57894737
11655.876,0.57894742
10819.171,0.60526305
10819.168,0.60526317
9755.6161,0.64473671
9755.6129,0.64473689
8623.0507,0.68421036
8623.0479,0.68421054
7536.3387,0.72368407
7536.3351,0.72368425
6303.5429,0.76315773
6303.5388,0.7631579
5026.495,0.8223682
5026.491,0.82236844
3711.9455,0.88157868
3711.9417,0.88157892
2601.6681,0.94078922
2601.6651,0.94078946
1858.0182,0.99999976
1858.0163,1
1843.7475,1.0624998
1843.7467,1.0625
2466.4111,1.1249998
2466.4115,1.125
3317.8853,1.1874998
3317.8865,1.1875
4218.7263,1.2499998
4218.728,1.25
5136.6464,1.3124998
5136.6479,1.3125
6366.6056,1.3749998
6366.6103,1.375
8132.8545,1.4999998
8132.8567,1.5
9734.1602,1.7499995
9734.1625,1.75
11393.065,1.9999995
11393.067,2
12593.317,2.2499995
12593.319,2.25
13440.377,2.4999995
13440.378,2.5
14014.881,2.7499995
14014.882,2.75
14377.215,2.9999995
14377.216,3
14572.814,3.2499995
14572.814,3.25
14636.319,3.4999995
14636.319,3.5
14594.564,3.7499995
14594.564,3.75
14468.673,3.9999995
14468.673,4
14275.538,4.2499995
14275.538,4.25
14028.858,4.4999995
14028.857,4.5
13739.88,4.7499995
13739.879,4.75
13417.937,4.9999995
13417.937,5
13070.839,5.2499995
13070.839,5.25
12705.16,5.4999995
12705.159,5.5
12326.455,5.7499995
12326.455,5.75
11939.433,5.9999995
11939.432,6
11548.079,6.2499995
11548.078,6.25
11155.764,6.4999995
11155.763,6.5
10765.327,6.7499995
10765.326,6.75
10379.146,6.9999995
10379.145,7
9999.1951,7.2499995
9999.1944,7.25
9627.0975,7.4999995
9627.0968,7.5
9264.1679,7.7499995
9264.1672,7.75
8911.4517,7.9999995
8911.451,8
8569.7589,8.25
8239.6949,8.5
7921.6871,8.75
7616.0098,9
7322.8054,9.25
7042.1041,9.5
6773.8414,9.75
6517.8736,10
6273.9916,10.25
6041.933,10.5
5821.3934,10.75
5612.0354,11
5413.4972,11.25
5225.4,11.5
5047.354,11.75
4878.9641,12
4719.8341,12.25
4569.571,12.5
4427.7881,12.75
4294.1076,13
4168.1628,13.25
4049.5997,13.5
3938.0787,13.75
3833.2752,14
3734.8803,14.25
3642.6016,14.5
3556.1627,14.75
3475.3042,15
3399.7827,15.25
3329.371,15.5
3263.8577,15.75
3203.0467,16
3146.7568,16.25
3094.8214,16.5
3047.0875,16.75
3003.4155,17
2963.6787,17.25
2927.7627,17.5
2895.5647,17.75
2866.9933,18
2841.9681,18.25
2820.4191,18.5
2802.2862,18.75
2787.5195,19
2776.0781,19.25
2767.9307,19.5
2763.0552,19.75
2757.6949,20

