eDensity,X
none,none
8.6386396e+16,0.15469547
9.5876648e+16,0.15758108
9.587668e+16,0.15758109
1.0276745e+17,0.15999998
1.0276747e+17,0.16
1.0276747e+17,0.16
1.0398645e+17,0.16046673
1.1061395e+17,0.16335234
1.1061398e+17,0.16335236
1.1584403e+17,0.16623797
1.1584405e+17,0.16623798
1.1980072e+17,0.1691236
1.1980073e+17,0.16912362
1.2263882e+17,0.17200923
1.2263883e+17,0.17200924
1.253991e+17,0.17778049
1.2539911e+17,0.17778051
1.2547004e+17,0.18355176
1.2547004e+17,0.18355177
1.2369672e+17,0.18932302
1.2369672e+17,0.18932304
1.206648e+17,0.19509429
1.2066479e+17,0.1950943
1.1593863e+17,0.20195748
1.1593861e+17,0.20195751
1.1041147e+17,0.2088207
1.1041145e+17,0.20882073
1.0435726e+17,0.21568391
1.0435724e+17,0.21568394
9.7965936e+16,0.22254711
9.7965912e+16,0.22254714
9.1380308e+16,0.22941034
9.1380283e+16,0.22941037
8.4715414e+16,0.23627354
8.4715389e+16,0.23627357
7.8067942e+16,0.24313676
7.8067917e+16,0.24313679
7.152054e+16,0.24999997
7.1520515e+16,0.25
6.4946397e+16,0.25707936
6.4946372e+16,0.25707939
5.8619545e+16,0.26415876
5.8619521e+16,0.26415879
5.2594616e+16,0.27123818
5.2594593e+16,0.27123821
4.6915914e+16,0.27831757
4.6915892e+16,0.2783176
3.6708195e+16,0.29247633
3.6708156e+16,0.29247639
2.8173392e+16,0.30663514
2.817336e+16,0.3066352
1.8892843e+16,0.3266587
1.8892808e+16,0.32665879
1.2495328e+16,0.34668225
1.2495304e+16,0.34668234
8.2916786e+15,0.36670583
8.2916625e+15,0.36670592
6.8005197e+15,0.37671769
6.800514e+15,0.37671772
5.6115995e+15,0.38672948
5.611595e+15,0.38672951
4.3295887e+15,0.40088826
4.3295838e+15,0.40088832
3.3959567e+15,0.41504708
3.3959531e+15,0.41504714
2.7101272e+15,0.42920586
2.7101245e+15,0.42920592
2.2004062e+15,0.44336468
2.2004043e+15,0.44336474
1.8163827e+15,0.45752349
1.8163812e+15,0.45752355
1.5228001e+15,0.47168231
1.5227989e+15,0.47168237
1.2949858e+15,0.48584113
1.2949849e+15,0.48584118
1.1155906e+15,0.49999994
1.1155899e+15,0.5
9.8143403e+14,0.51315784
9.8143351e+14,0.5131579
8.7131457e+14,0.52631575
8.7131415e+14,0.52631581
7.7994966e+14,0.53947365
7.7994931e+14,0.53947371
7.0338715e+14,0.55263156
7.0338685e+14,0.55263162
6.386356e+14,0.56578946
6.3863535e+14,0.56578952
5.8339691e+14,0.57894737
5.833967e+14,0.57894742
4.9504154e+14,0.60526305
4.9504121e+14,0.60526317
4.0069219e+14,0.64473671
4.0069184e+14,0.64473689
3.3506595e+14,0.68421036
3.350657e+14,0.68421054
2.875642e+14,0.72368407
2.8756402e+14,0.72368425
2.5206801e+14,0.76315773
2.5206788e+14,0.7631579
2.1375285e+14,0.8223682
2.137527e+14,0.82236844
1.8684112e+14,0.88157868
1.8684101e+14,0.88157892
1.6728492e+14,0.94078922
1.6728484e+14,0.94078946
1.5271655e+14,0.99999976
1.5271649e+14,1
1.4115636e+14,1.0624998
1.4115632e+14,1.0625
1.3244591e+14,1.1249998
1.3244587e+14,1.125
1.2588326e+14,1.1874998
1.2588323e+14,1.1875
1.2101097e+14,1.2499998
1.2101095e+14,1.25
1.175504e+14,1.3124998
1.1755038e+14,1.3125
1.1540172e+14,1.3749998
1.1540172e+14,1.375
1.1303296e+14,1.4999998
1.1303295e+14,1.5
1.1578331e+14,1.7499995
1.1578331e+14,1.75
1.2497664e+14,1.9999995
1.2497665e+14,2
1.3841378e+14,2.2499995
1.3841379e+14,2.25
1.5444669e+14,2.4999995
1.5444672e+14,2.5
1.7170122e+14,2.7499995
1.7170124e+14,2.75
1.8907352e+14,2.9999995
1.8907354e+14,3
2.0577788e+14,3.2499995
2.0577791e+14,3.25
2.2134793e+14,3.4999995
2.2134795e+14,3.5
2.3558018e+14,3.7499995
2.355802e+14,3.75
2.4845038e+14,3.9999995
2.4845039e+14,4
2.6003471e+14,4.2499995
2.6003473e+14,4.25
2.7045246e+14,4.4999995
2.7045247e+14,4.5
2.7983178e+14,4.7499995
2.7983179e+14,4.75
2.8829303e+14,4.9999995
2.8829304e+14,5
2.9594271e+14,5.2499995
2.9594272e+14,5.25
3.0287278e+14,5.4999995
3.0287279e+14,5.5
3.0916219e+14,5.7499995
3.091622e+14,5.75
3.1487884e+14,5.9999995
3.1487885e+14,6
3.2008157e+14,6.2499995
3.2008157e+14,6.25
3.2482167e+14,6.4999995
3.2482168e+14,6.5
3.2914419e+14,6.7499995
3.2914419e+14,6.75
3.3308888e+14,6.9999995
3.3308889e+14,7
3.3669103e+14,7.2499995
3.3669104e+14,7.25
3.3998205e+14,7.4999995
3.3998205e+14,7.5
3.4299e+14,7.7499995
3.4299e+14,7.75
3.4574005e+14,7.9999995
3.4574005e+14,8
3.4825481e+14,8.25
3.5055468e+14,8.5
3.5265806e+14,8.75
3.5458161e+14,9
3.5634045e+14,9.25
3.5794833e+14,9.5
3.5941776e+14,9.75
3.6076014e+14,10
3.6198589e+14,10.25
3.6310456e+14,10.5
3.6412489e+14,10.75
3.6505487e+14,11
3.6590187e+14,11.25
3.6667266e+14,11.5
3.6737345e+14,11.75
3.6800999e+14,12
3.6858754e+14,12.25
3.6911098e+14,12.5
3.695848e+14,12.75
3.7001315e+14,13
3.7039986e+14,13.25
3.7074846e+14,13.5
3.7106223e+14,13.75
3.7134418e+14,14
3.7159709e+14,14.25
3.7182354e+14,14.5
3.720259e+14,14.75
3.7220637e+14,15
