AcceptorConcentration,X
none,none
0,-0.12581506
0,-0.10784156
0,-0.10784149
0,-0.089867972
0,-0.089867905
0,-0.080881156
0,-0.080881119
0,-0.071894363
0,-0.071894325
0,-0.067400947
0,-0.067400932
0,-0.062907547
0,-0.062907532
0,-0.058414157
0,-0.058414139
0,-0.053920764
0,-0.053920746
0,-0.051674053
0,-0.051674046
0,-0.049999975
0,-0.049999967
0,-0.049999967
0,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
0,-0.040440578
0,-0.040440559
0,-0.035947181
0,-0.035947163
0,-0.033700474
0,-0.033700466
0,-0.031453773
0,-0.031453766
0,-0.030000346
0,-0.03000034
0,-0.03000034
0,-0.029207073
0,-0.029207069
0,-0.026960382
0,-0.026960373
0,-0.024713684
0,-0.024713675
0,-0.022466986
0,-0.022466976
0,-0.017973598
0,-0.017973581
0,-0.013480203
0,-0.013480186
0,-0.0089868074
0,-0.0089867907
0,-0.0044934126
0,-0.0044933953
0,-0.0022467063
0,-0.0022466977
0,-8.5704386e-9
0,0
2.4000312e+17,0
2.654707e+17,0.001579209
2.654708e+17,0.0015792151
2.9030385e+17,0.003158424
2.9030395e+17,0.0031584301
3.3705198e+17,0.0063168481
3.3705216e+17,0.0063168602
3.7777064e+17,0.0094752777
3.7777079e+17,0.0094752898
4.1130487e+17,0.012633708
4.1130499e+17,0.01263372
4.4365016e+17,0.016711222
4.4365028e+17,0.016711237
4.648175e+17,0.02078874
4.6481758e+17,0.020788755
4.794308e+17,0.028943758
4.7943086e+17,0.02894379
4.6401239e+17,0.039471854
4.6401233e+17,0.039471895
4.2252901e+17,0.04999996
4.2252886e+17,0.050000001
3.4217311e+17,0.06372638
3.4217281e+17,0.063726433
2.5270538e+17,0.077452816
2.5270503e+17,0.077452868
1.5790509e+17,0.093776375
1.5790473e+17,0.093776435
1.1996643e+17,0.10193819
1.1996629e+17,0.10193822
8.8794093e+16,0.11009997
8.8793974e+16,0.1101
6.0230276e+16,0.11980601
6.0230167e+16,0.11980605
4.8951434e+16,0.12465906
4.8951391e+16,0.12465908
3.9484597e+16,0.12951209
3.948456e+16,0.1295121
3.1622946e+16,0.13436511
3.1622916e+16,0.13436513
2.8215927e+16,0.13679162
2.8215914e+16,0.13679163
2.5132944e+16,0.13921814
2.5132932e+16,0.13921815
2.4203355e+16,0.14
