eQuasiFermiPotential,X
none,none
1.4014341e-21,-0.049999967
1.4014341e-21,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
0,-0.040440578
0,-0.040440559
0,-0.035947181
0,-0.035947163
0,-0.033700474
0,-0.033700466
0,-0.031453773
0,-0.031453766
0,-0.030000346
0,-0.03000034
0,-0.03000034
0,-0.029207073
0,-0.029207069
0,-0.026960382
0,-0.026960373
0,-0.024713684
0,-0.024713675
0,-0.022466986
0,-0.022466976
0,-0.017973598
0,-0.017973581
0,-0.013480203
0,-0.013480186
0,-0.0089868074
0,-0.0089867907
0,-0.0044934126
0,-0.0044933953
0,-0.0022467063
0,-0.0022466977
6.2049368,-8.5704386e-9
6.2049604,0
6.2049604,0
6.2050715,0.001579209
6.2050715,0.0015792151
6.2057602,0.003158424
6.2057602,0.0031584301
6.2091117,0.0063168481
6.2091117,0.0063168602
6.2157044,0.0094752777
6.2157044,0.0094752898
6.2261435,0.012633708
6.2261435,0.01263372
6.2461135,0.016711222
6.2461136,0.016711237
6.274289,0.02078874
6.2742891,0.020788755
6.3568684,0.028943758
6.3568687,0.02894379
6.5161409,0.039471854
6.5161415,0.039471895
6.7297934,0.04999996
6.7297942,0.050000001
7.0763004,0.06372638
7.0763017,0.063726433
7.4731303,0.077452816
7.4731318,0.077452868
7.9745538,0.093776375
7.9745557,0.093776435
8.2225351,0.10193819
8.2225361,0.10193822
8.4649361,0.11009997
8.464937,0.1101
8.7420569,0.11980601
8.7420579,0.11980605
8.8746947,0.12465906
8.8746952,0.12465908
9.0030431,0.12951209
9.0030435,0.1295121
9.1268304,0.13436511
9.1268308,0.13436513
9.1869349,0.13679162
9.1869351,0.13679163
9.2458254,0.13921814
9.2458257,0.13921815
9.2645384,0.14
9.2645385,0.14
9.3034827,0.14164466
9.3598949,0.14407116
9.3598952,0.14407118
9.4150488,0.14649767
9.415049,0.14649768
9.4689349,0.14892419
9.4689351,0.1489242
9.5313571,0.15180981
9.5313573,0.15180983
9.5919689,0.15469545
9.5919691,0.15469547
9.6507668,0.15758108
9.650767,0.15758109
9.6986573,0.15999998
9.6986575,0.16
9.6986575,0.16
9.7077515,0.16046673
9.7629256,0.16335234
9.7629258,0.16335236
9.8162971,0.16623797
9.8162973,0.16623798
9.8678755,0.1691236
9.8678757,0.16912362
9.9176734,0.17200923
9.9176736,0.17200924
10.011972,0.17778049
10.011973,0.17778051
10.099356,0.18355176
10.099356,0.18355177
10.179999,0.18932302
10.18,0.18932304
10.254106,0.19509429
10.254106,0.1950943
10.334015,0.20195748
10.334016,0.20195751
10.405407,0.2088207
10.405407,0.20882073
10.46872,0.21568391
10.46872,0.21568394
10.524416,0.22254711
10.524416,0.22254714
10.572974,0.22941034
10.572974,0.22941037
10.614881,0.23627354
10.614881,0.23627357
10.650628,0.24313676
10.650628,0.24313679
10.680703,0.24999997
10.680703,0.25
10.706287,0.25707936
10.706287,0.25707939
10.726859,0.26415876
10.72686,0.26415879
10.742916,0.27123818
10.742916,0.27123821
10.754927,0.27831757
10.754927,0.2783176
10.768152,0.29247633
10.768152,0.29247639
10.77023,0.30663514
10.77023,0.3066352
10.758855,0.3266587
10.758855,0.32665879
10.736876,0.34668225
10.736876,0.34668234
10.708699,0.36670583
10.708699,0.36670592
10.693405,0.37671769
10.693405,0.37671772
10.677578,0.38672948
10.677578,0.38672951
10.654649,0.40088826
10.654649,0.40088832
10.631524,0.41504708
10.631524,0.41504714
10.608509,0.42920586
10.608509,0.42920592
10.585811,0.44336468
10.585811,0.44336474
10.563565,0.45752349
10.563565,0.45752355
10.541859,0.47168231
10.541859,0.47168237
10.520745,0.48584113
10.520745,0.48584118
10.500255,0.49999994
10.500255,0.5
10.481788,0.51315784
10.481788,0.5131579
10.463881,0.52631575
10.463881,0.52631581
10.446536,0.53947365
10.446536,0.53947371
10.429752,0.55263156
10.429752,0.55263162
10.413528,0.56578946
10.413528,0.56578952
10.397858,0.57894737
10.397858,0.57894742
10.36817,0.60526305
10.368169,0.60526317
10.327681,0.64473671
10.327681,0.64473689
10.291848,0.68421036
10.291848,0.68421054
10.260507,0.72368407
10.260507,0.72368425
10.233492,0.76315773
10.233492,0.7631579
10.200775,0.8223682
10.200775,0.82236844
10.176873,0.88157868
10.176873,0.88157892
10.161243,0.94078922
10.161243,0.94078946
10.153359,0.99999976
10.153359,1
10.152891,1.0624998
10.152891,1.0625
10.159929,1.1249998
10.159929,1.125
10.173952,1.1874998
10.173952,1.1875
10.194508,1.2499998
10.194508,1.25
10.22126,1.3124998
10.22126,1.3125
10.254128,1.3749998
10.254128,1.375
10.333555,1.4999998
10.333555,1.5
10.543784,1.7499995
10.543784,1.75
10.803835,1.9999995
10.803835,2
11.099708,2.2499995
11.099709,2.25
11.420865,2.4999995
11.420865,2.5
11.759283,2.7499995
11.759284,2.75
12.108776,2.9999995
12.108777,3
12.464508,3.2499995
12.464509,3.25
12.822661,3.4999995
12.822662,3.5
13.180194,3.7499995
13.180194,3.75
13.534673,3.9999995
13.534674,4
13.884147,4.2499995
13.884147,4.25
14.22705,4.4999995
14.227051,4.5
14.562137,4.7499995
14.562137,4.75
14.888423,4.9999995
14.888424,5
15.205146,5.2499995
15.205147,5.25
15.511727,5.4999995
15.511728,5.5
15.807745,5.7499995
15.807745,5.75
16.092912,5.9999995
16.092913,6
16.367056,6.2499995
16.367056,6.25
16.630099,6.4999995
16.6301,6.5
16.882048,6.7499995
16.882048,6.75
17.122977,6.9999995
17.122978,7
17.353022,7.2499995
17.353023,7.25
17.572366,7.4999995
17.572366,7.5
17.781231,7.7499995
17.781232,7.75
17.979876,7.9999995
17.979876,8
18.168581,8.25
18.347652,8.5
18.517406,8.75
18.678174,9
18.830293,9.25
18.974103,9.5
19.109947,9.75
19.238164,10
19.359092,10.25
19.473062,10.5
19.5804,10.75
19.681421,11
19.776435,11.25
19.865739,11.5
19.949623,11.75
20.028363,12
20.102228,12.25
20.171471,12.5
20.236339,12.75
20.297064,13
20.353868,13.25
20.406964,13.5
20.456552,13.75
20.502821,14
20.545951,14.25
20.586112,14.5
20.623463,14.75
20.658155,15
20.690328,15.25
20.720113,15.5
20.747634,15.75
20.773006,16
20.796336,16.25
20.817721,16.5
20.837252,16.75
20.855015,17
20.871084,17.25
20.88553,17.5
20.898416,17.75
20.909797,18
20.919724,18.25
20.92824,18.5
20.935383,18.75
20.941184,19
20.94567,19.25
20.94886,19.5
20.950769,19.75
20.951404,20

