hDensity,X
none,none
413.24199,0.13679162
413.24142,0.13679163
308.00439,0.13921814
308.00439,0.13921815
266.9982,0.14
266.9982,0.14
196.89821,0.14164466
102.27938,0.14407116
102.27938,0.14407118
8.3868415e-22,0.14649767
8.387151e-22,0.14649768
90.893778,0.14892419
90.893778,0.1489242
1.2118718e-23,0.15180981
1.2117394e-23,0.15180983
99.740195,0.15469545
99.740195,0.15469547
1.0395815e-25,0.15758108
1.0394634e-25,0.15758109
101.29177,0.15999998
101.29177,0.16
101.29177,0.16
88.954896,0.16046673
1.4797519e-27,0.16335234
1.4797749e-27,0.16335236
94.904936,0.16623797
94.904936,0.16623798
3.014905e-29,0.1691236
3.0157997e-29,0.16912362
156.90634,0.17200923
156.90913,0.17200924
0.0027951839,0.17778049
0.0026930868,0.17778051
0.0026930868,0.18355176
0.0018906997,0.18355177
0.0018906997,0.18932302
0.00099233962,0.18932304
0.00099233962,0.19509429
2.8155417e-36,0.1950943
7.3627121e-56,0.20195748
0.0041784946,0.20195751
587.98675,0.2088207
587.98609,0.20882073
340.23517,0.21568391
340.23418,0.21568394
0.0025234985,0.22254711
0.0013563629,0.22254714
0.0013563629,0.22941034
6.9128072e-41,0.22941037
800.84084,0.23627354
800.84084,0.23627357
704.91826,0.24313676
704.91925,0.24313679
409.51442,0.24999997
409.51343,0.25
1.2829339e-47,0.25707936
6.0624908e-48,0.25707939
1320.7196,0.26415876
1320.7196,0.26415879
1765.3666,0.27123818
1765.3666,0.27123821
1900.1955,0.27831757
1900.1955,0.2783176
1820.4809,0.29247633
1820.4809,0.29247639
1439.2301,0.30663514
1439.2334,0.3066352
0.0032900469,0.3266587
0.0035556668,0.32665879
402.31082,0.34668225
402.30726,0.34668234
1.84566e-43,0.36670583
0.00061650106,0.36670592
0.00061650106,0.37671769
5.0443688e-62,0.37671772
149.13036,0.38672948
149.13073,0.38672951
219.79129,0.40088826
219.79092,0.40088832
8.7328139e-42,0.41504708
0.00061397363,0.41504714
0.00061397363,0.42920586
0.0007844745,0.42920592
0.0007844745,0.44336468
9.9003736e-46,0.44336474
9.9003736e-46,0.45752349
0.00066618576,0.45752355
92.306063,0.47168231
92.306497,0.47168237
0.0011001584,0.48584113
0.0010570881,0.48584118
141.22831,0.49999994
141.22725,0.5
172.0063,0.51315784
172.00694,0.5131579
0.00063826773,0.52631575
0.0010154498,0.52631581
134.07111,0.53947365
134.07104,0.53947371
164.75285,0.55263156
164.7519,0.55263162
1.3027264e-38,0.56578946
1.3027264e-38,0.56578952
4.5610682e-57,0.57894737
0.00055863317,0.57894742
549.32561,0.60526305
549.32505,0.60526317
1000.2339,0.64473671
1000.2339,0.64473689
2.7510247e-55,0.68421036
2.7510746e-55,0.68421054
1173.1842,0.72368407
1173.1889,0.72368425
2312.2372,0.76315773
2312.2418,0.7631579
2921.3515,0.8223682
2921.3539,0.82236844
0.011775631,0.88157868
2.3481811e-53,0.88157892
3.6369204e-34,0.94078922
3.6372348e-34,0.94078946
3326.0732,0.99999976
3326.0732,1
4795.3514,1.0624998
4795.3605,1.0625
3381.4564,1.1249998
3381.4473,1.125
1.3456999e-33,1.1874998
0.014557184,1.1875
0.014557184,1.2499998
0.019748594,1.25
0.019748594,1.3124998
0.023469249,1.3125
6468.9559,1.3749998
6468.9509,1.375
5819.6518,1.4999998
5819.6456,1.5
1.1484539e-40,1.7499995
1.1484605e-40,1.75
8489.9301,1.9999995
8489.9301,2
5795.9263,2.2499995
5795.9263,2.25
1.1093434e-55,2.4999995
1.1093612e-55,2.5
1.983243e-60,2.7499995
0.017432432,2.75
0.017432432,2.9999995
0.01454314,3
0.01454314,3.2499995
0.0109176,3.25
0.0109176,3.4999995
0.0062808265,3.5
0.0062808265,3.7499995
3.8495427e-84,3.75
3.8495427e-84,3.9999995
3.8495427e-84,4
3.8495427e-84,4.2499995
3.8495427e-84,4.25
3.8495427e-84,4.4999995
3.8495427e-84,4.5
3.8495427e-84,4.7499995
3.8495427e-84,4.75
3.8495427e-84,4.9999995
3.8495427e-84,5
3.8495427e-84,5.2499995
3.8495427e-84,5.25
3.8495427e-84,5.4999995
3.8495427e-84,5.5
3.8495427e-84,5.7499995
3.8495427e-84,5.75
3.8495427e-84,5.9999995
3.8495427e-84,6
3.8495427e-84,6.2499995
3.8495427e-84,6.25
3.8495427e-84,6.4999995
3.8495427e-84,6.5
3.8495427e-84,6.7499995
3.8495427e-84,6.75
3.8495427e-84,6.9999995
3.8495427e-84,7
3.8495427e-84,7.2499995
3.8495427e-84,7.25
3.8495427e-84,7.4999995
3.8495427e-84,7.5
3.8495427e-84,7.7499995
3.8495427e-84,7.75
3.8495427e-84,7.9999995
3.8495427e-84,8
3.8495427e-84,8.25
3.8495427e-84,8.5
3.8495427e-84,8.75
3.8495427e-84,9
3.8495427e-84,9.25
3.8495427e-84,9.5
3.8495427e-84,9.75
3.8495427e-84,10
3.8495427e-84,10.25
3.8495427e-84,10.5
3.8495427e-84,10.75
3.8495427e-84,11
3.8495427e-84,11.25
3.8495427e-84,11.5
3.8495427e-84,11.75
3.8495427e-84,12
3.8495427e-84,12.25
3.8495427e-84,12.5
3.8495427e-84,12.75
3.8495427e-84,13
3.8495427e-84,13.25
3.8495427e-84,13.5
3.8495427e-84,13.75
3.8495427e-84,14
3.8495427e-84,14.25
3.8495427e-84,14.5
3.8495427e-84,14.75
3.8495427e-84,15
3.8495427e-84,15.25
3.8495427e-84,15.5
3.8495427e-84,15.75
3.8495427e-84,16
3.8495427e-84,16.25
3.8495427e-84,16.5
3.8495427e-84,16.75
3.8495427e-84,17
3.8495427e-84,17.25
3.8495427e-84,17.5
3.8495427e-84,17.75
3.8495427e-84,18
3.8495427e-84,18.25
3.8495427e-84,18.5
3.8495427e-84,18.75
3.8495427e-84,19
3.8495427e-84,19.25
3.8495427e-84,19.5
3.8495427e-84,19.75
3.8495427e-84,20

