DopingWells,X
none,none
3,0.57894742
3,0.60526305
3,0.60526317
3,0.64473671
3,0.64473689
3,0.68421036
3,0.68421054
3,0.72368407
3,0.72368425
1.1444048e-5,0.76315773
0,0.7631579
0,0.8223682
0,0.82236844
0,0.88157868
0,0.88157892
0,0.94078922
0,0.94078946
0,0.99999976
0,1
0,1.0624998
0,1.0625
0,1.1249998
0,1.125
0,1.1874998
0,1.1875
0,1.2499998
0,1.25
0,1.3124998
0,1.3125
0,1.3749998
0,1.375
0,1.4999998
0,1.5
0,1.7499995
0,1.75
0,1.9999995
0,2
0,2.2499995
0,2.25
0,2.4999995
0,2.5
0,2.7499995
0,2.75
0,2.9999995
0,3
0,3.2499995
0,3.25
0,3.4999995
0,3.5
0,3.7499995
0,3.75
0,3.9999995
0,4
0,4.2499995
0,4.25
0,4.4999995
0,4.5
0,4.7499995
0,4.75
0,4.9999995
0,5
0,5.2499995
0,5.25
0,5.4999995
0,5.5
0,5.7499995
0,5.75
0,5.9999995
0,6
0,6.2499995
0,6.25
0,6.4999995
0,6.5
0,6.7499995
0,6.75
0,6.9999995
0,7
0,7.2499995
0,7.25
0,7.4999995
0,7.5
0,7.7499995
0,7.75
0,7.9999995
0,8
0,8.25
0,8.5
0,8.75
0,9
0,9.25
0,9.5
0,9.75
0,10
0,10.25
0,10.5
0,10.75
0,11
0,11.25
0,11.5
0,11.75
0,12
0,12.25
0,12.5
0,12.75
0,13
0,13.25
0,13.5
0,13.75
0,14
0,14.25
0,14.5
0,14.75
0,15
0,15.25
0,15.5
0,15.75
0,16
0,16.25
0,16.5
0,16.75
0,17
0,17.25
0,17.5
0,17.75
0,18
0,18.25
0,18.5
0,18.75
0,19
0,19.25
0,19.5
0,19.75
0,20

