SpaceCharge,X
none,none
1.2050912e+17,0.12465906
1.2050915e+17,0.12465908
1.2799641e+17,0.12951209
1.2799644e+17,0.1295121
1.3372257e+17,0.13436511
1.3372259e+17,0.13436513
1.3600642e+17,0.13679162
1.3600643e+17,0.13679163
1.3792988e+17,0.13921814
1.3792989e+17,0.13921815
1.3847819e+17,0.14
1.3847819e+17,0.14
1.395205e+17,0.14164466
1.407968e+17,0.14407116
1.4079681e+17,0.14407118
1.4178389e+17,0.14649767
1.417839e+17,0.14649768
1.42503e+17,0.14892419
1.42503e+17,0.1489242
1.4303525e+17,0.15180981
1.4303525e+17,0.15180983
1.4324771e+17,0.15469545
1.4324771e+17,0.15469547
1.4316878e+17,0.15758108
1.4316878e+17,0.15758109
1.4289808e+17,0.15999998
1.4289807e+17,0.16
1.4289807e+17,0.16
1.4282598e+17,0.16046673
1.4223974e+17,0.16335234
1.4223973e+17,0.16335236
1.4143287e+17,0.16623797
1.4143287e+17,0.16623798
1.4042465e+17,0.1691236
1.4042465e+17,0.16912362
1.3923244e+17,0.17200923
1.3923244e+17,0.17200924
1.3634331e+17,0.17778049
1.363433e+17,0.17778051
1.3288831e+17,0.18355176
1.328883e+17,0.18355177
1.2895609e+17,0.18932302
1.2895607e+17,0.18932304
1.2462149e+17,0.19509429
1.2462147e+17,0.1950943
1.1902773e+17,0.20195748
1.1902771e+17,0.20195751
1.1305402e+17,0.2088207
1.13054e+17,0.20882073
1.0678916e+17,0.21568391
1.0678913e+17,0.21568394
1.0031674e+17,0.22254711
1.0031671e+17,0.22254714
9.3716662e+16,0.22941034
9.3716637e+16,0.22941037
8.7065344e+16,0.23627354
8.7065319e+16,0.23627357
8.0435192e+16,0.24313676
8.0435167e+16,0.24313679
7.389369e+16,0.24999997
7.3893665e+16,0.25
6.7303523e+16,0.25707936
6.7303498e+16,0.25707939
6.0933202e+16,0.26415876
6.0933177e+16,0.26415879
5.4834333e+16,0.27123818
5.483431e+16,0.27123821
4.9049733e+16,0.27831757
4.9049711e+16,0.2783176
3.8524661e+16,0.29247633
3.8524621e+16,0.29247639
2.9558184e+16,0.30663514
2.955815e+16,0.3066352
1.9563663e+16,0.3266587
1.9563625e+16,0.32665879
1.2414005e+16,0.34668225
1.2413978e+16,0.34668234
7.5713663e+15,0.36670583
7.5713478e+15,0.36670592
5.812348e+15,0.37671769
5.8123412e+15,0.37671772
4.4217293e+15,0.38672948
4.4217239e+15,0.38672951
2.9688157e+15,0.40088826
2.9688101e+15,0.40088832
1.9610038e+15,0.41504708
1.961e+15,0.41504714
1.2755387e+15,0.42920586
1.2755361e+15,0.42920592
8.1832026e+14,0.44336468
8.1831851e+14,0.44336474
5.1908309e+14,0.45752349
5.1908194e+14,0.45752355
3.2671254e+14,0.47168231
3.267118e+14,0.47168237
2.0498361e+14,0.48584113
2.0498314e+14,0.48584118
1.2895982e+14,0.49999994
1.2895953e+14,0.5
8.4349604e+13,0.51315784
8.4349432e+13,0.5131579
5.5930042e+13,0.52631575
5.5929933e+13,0.52631581
3.784651e+13,0.53947365
3.784644e+13,0.53947371
2.6377786e+13,0.55263156
2.6377741e+13,0.55263162
1.9082372e+13,0.56578946
1.9082344e+13,0.56578952
1.3889026e+13,0.57894737
1.3889006e+13,0.57894742
8.0208007e+12,0.60526305
8.020778e+12,0.60526317
4.0153301e+12,0.64473671
4.0153149e+12,0.64473689
1.8728383e+12,0.68421036
1.8728301e+12,0.68421054
5.2224712e+11,0.72368407
5.2224194e+11,0.72368425
-3.9725234e+11,0.76315773
-3.9725585e+11,0.7631579
-1.2774954e+12,0.8223682
-1.2774987e+12,0.82236844
-1.8080705e+12,0.88157868
-1.8080726e+12,0.88157892
-2.1309753e+12,0.94078922
-2.1309766e+12,0.94078946
-2.3293086e+12,0.99999976
-2.3293094e+12,1
-2.4571579e+12,1.0624998
-2.4571584e+12,1.0625
-2.5352346e+12,1.1249998
-2.5352349e+12,1.125
-2.5835453e+12,1.1874998
-2.5835454e+12,1.1875
-2.6138625e+12,1.2499998
-2.6138627e+12,1.25
-2.6330613e+12,1.3124998
-2.6330614e+12,1.3125
-2.6452558e+12,1.3749998
-2.6452559e+12,1.375
-2.6580406e+12,1.4999998
-2.6580406e+12,1.5
-2.6601387e+12,1.7499995
-2.6601387e+12,1.75
-2.6602145e+12,1.9999995
-2.6602145e+12,2
-2.660216e+12,2.2499995
-2.660216e+12,2.25
-2.6602156e+12,2.4999995
-2.6602156e+12,2.5
-2.6602152e+12,2.7499995
-2.6602152e+12,2.75
-2.6602149e+12,2.9999995
-2.6602149e+12,3
-2.6602146e+12,3.2499995
-2.6602146e+12,3.25
-2.6602144e+12,3.4999995
-2.6602144e+12,3.5
-2.6602143e+12,3.7499995
-2.6602143e+12,3.75
-2.6602142e+12,3.9999995
-2.6602142e+12,4
-2.6602141e+12,4.2499995
-2.6602141e+12,4.25
-2.660214e+12,4.4999995
-2.660214e+12,4.5
-2.6602139e+12,4.7499995
-2.6602139e+12,4.75
-2.6602139e+12,4.9999995
-2.6602139e+12,5
-2.6602138e+12,5.2499995
-2.6602138e+12,5.25
-2.6602138e+12,5.4999995
-2.6602138e+12,5.5
-2.6602137e+12,5.7499995
-2.6602137e+12,5.75
-2.6602137e+12,5.9999995
-2.6602137e+12,6
-2.6602137e+12,6.2499995
-2.6602137e+12,6.25
-2.6602137e+12,6.4999995
-2.6602137e+12,6.5
-2.6602137e+12,6.7499995
-2.6602137e+12,6.75
-2.6602137e+12,6.9999995
-2.6602137e+12,7
-2.6602136e+12,7.2499995
-2.6602136e+12,7.25
-2.6602136e+12,7.4999995
-2.6602136e+12,7.5
-2.6602136e+12,7.7499995
-2.6602136e+12,7.75
-2.6602136e+12,7.9999995
-2.6602136e+12,8
-2.6602136e+12,8.25
-2.6602136e+12,8.5
-2.6602136e+12,8.75
-2.6602136e+12,9
-2.6602136e+12,9.25
-2.6602136e+12,9.5
-2.6602136e+12,9.75
-2.6602136e+12,10
-2.6602136e+12,10.25
-2.6602136e+12,10.5
-2.6602136e+12,10.75
-2.6602136e+12,11
-2.6602136e+12,11.25
-2.6602136e+12,11.5
-2.6602136e+12,11.75
-2.6602136e+12,12
-2.6602136e+12,12.25
-2.6602136e+12,12.5
-2.6602136e+12,12.75
-2.6602136e+12,13
-2.6602136e+12,13.25
-2.6602136e+12,13.5
-2.6602136e+12,13.75
-2.6602136e+12,14
-2.6602136e+12,14.25
-2.6602136e+12,14.5
-2.6602136e+12,14.75
-2.6602136e+12,15
-2.6602136e+12,15.25
-2.6602136e+12,15.5
-2.6602136e+12,15.75
-2.6602136e+12,16
-2.6602136e+12,16.25
-2.6602136e+12,16.5
-2.6602136e+12,16.75
-2.6602136e+12,17
-2.6602136e+12,17.25
-2.6602136e+12,17.5
-2.6602135e+12,17.75
-2.6602135e+12,18
-2.6602135e+12,18.25
-2.6602135e+12,18.5
-2.6602135e+12,18.75
-2.6602135e+12,19
-2.6602135e+12,19.25
-2.6602135e+12,19.5
-2.6602135e+12,19.75
-2.6602135e+12,20

