DonorConcentration,X
none,none
1.6422234e+17,0.13679163
1.6306283e+17,0.13921814
1.6306282e+17,0.13921815
1.6268154e+17,0.14
1.6268154e+17,0.14
1.6186732e+17,0.14164466
1.6063592e+17,0.14407116
1.6063592e+17,0.14407118
1.5936858e+17,0.14649767
1.5936857e+17,0.14649768
1.5806506e+17,0.14892419
1.5806505e+17,0.1489242
1.5646735e+17,0.15180981
1.5646734e+17,0.15180983
1.5481718e+17,0.15469545
1.5481718e+17,0.15469547
1.5311366e+17,0.15758108
1.5311365e+17,0.15758109
1.516438e+17,0.15999998
1.5164379e+17,0.16
1.5164379e+17,0.16
1.5135573e+17,0.16046673
1.4954256e+17,0.16335234
1.4954256e+17,0.16335236
1.4767318e+17,0.16623797
1.4767317e+17,0.16623798
1.4574679e+17,0.1691236
1.4574679e+17,0.16912362
1.4376278e+17,0.17200923
1.4376277e+17,0.17200924
1.3962066e+17,0.17778049
1.3962064e+17,0.17778051
1.3524611e+17,0.18355176
1.3524609e+17,0.18355177
1.3064386e+17,0.18932302
1.3064384e+17,0.18932304
1.2582414e+17,0.19509429
1.2582412e+17,0.1950943
1.1983014e+17,0.20195748
1.1983012e+17,0.20195751
1.1358791e+17,0.2088207
1.1358789e+17,0.20882073
1.0714401e+17,0.21568391
1.0714398e+17,0.21568394
1.0055278e+17,0.22254711
1.0055276e+17,0.22254714
9.3874141e+16,0.22941034
9.3874115e+16,0.22941037
8.7170969e+16,0.23627354
8.7170944e+16,0.23627357
8.0506607e+16,0.24313676
8.0506582e+16,0.24313679
7.3942508e+16,0.24999997
7.3942483e+16,0.25
6.7337019e+16,0.25707936
6.7336994e+16,0.25707939
6.0956625e+16,0.26415876
6.0956601e+16,0.26415879
5.4851073e+16,0.27123818
5.485105e+16,0.27123821
4.9061971e+16,0.27831757
4.9061949e+16,0.2783176
3.8532069e+16,0.29247633
3.8532029e+16,0.29247639
2.9563239e+16,0.30663514
2.9563205e+16,0.3066352
1.9567306e+16,0.3266587
1.9567268e+16,0.32665879
1.2417082e+16,0.34668225
1.2417055e+16,0.34668234
7.5742073e+15,0.36670583
7.5741888e+15,0.36670592
5.8151268e+15,0.37671769
5.8151201e+15,0.37671772
4.424469e+15,0.38672948
4.4244637e+15,0.38672951
2.9715239e+15,0.40088826
2.9715184e+15,0.40088832
1.963695e+15,0.41504708
1.9636911e+15,0.41504714
1.2782205e+15,0.42920586
1.2782179e+15,0.42920592
8.2099692e+14,0.44336468
8.2099517e+14,0.44336474
5.2175692e+14,0.45752349
5.2175577e+14,0.45752355
3.2938481e+14,0.47168231
3.2938408e+14,0.47168237
2.0765502e+14,0.48584113
2.0765455e+14,0.48584118
1.3163075e+14,0.49999994
