ElectrostaticPotential,X
none,none
1.1118012,0.1489242
1.1162415,0.15180981
1.1162415,0.15180983
1.1198149,0.15469545
1.119815,0.15469547
1.1226565,0.15758108
1.1226565,0.15758109
1.1245694,0.15999998
1.1245694,0.16
1.1245694,0.16
1.1248967,0.16046673
1.1266301,0.16335234
1.1266301,0.16335236
1.1279563,0.16623797
1.1279563,0.16623798
1.1289532,0.1691236
1.1289532,0.16912362
1.1296847,0.17200923
1.1296847,0.17200924
1.1305068,0.17778049
1.1305068,0.17778051
1.1307654,0.18355176
1.1307654,0.18355177
1.1306421,0.18932302
1.1306421,0.18932304
1.1302479,0.19509429
1.1302479,0.1950943
1.1295141,0.20195748
1.1295141,0.20195751
1.1285552,0.2088207
1.1285552,0.20882073
1.1274039,0.21568391
1.1274039,0.21568394
1.1260755,0.22254711
1.1260755,0.22254714
1.1245759,0.22941034
1.1245759,0.22941037
1.1229062,0.23627354
1.1229061,0.23627357
1.1210652,0.24313676
1.1210652,0.24313679
1.1190518,0.24999997
1.1190518,0.25
1.1167938,0.25707936
1.1167938,0.25707939
1.1143531,0.26415876
1.1143531,0.26415879
1.1117331,0.27123818
1.1117331,0.27123821
1.1089394,0.27831757
1.1089393,0.2783176
1.1028555,0.29247633
1.1028555,0.29247639
1.0962079,0.30663514
1.0962079,0.3066352
1.0860726,0.3266587
1.0860726,0.32665879
1.0755191,0.34668225
1.0755191,0.34668234
1.0650131,0.36670583
1.0650131,0.36670592
1.0599263,0.37671769
1.0599262,0.37671772
1.0549916,0.38672948
1.0549915,0.38672951
1.0483258,0.40088826
1.0483258,0.40088832
1.0420794,0.41504708
1.0420794,0.41504714
1.036275,0.42920586
1.0362749,0.42920592
1.0309119,0.44336468
1.0309119,0.44336474
1.0259734,0.45752349
1.0259734,0.45752355
1.0214328,0.47168231
1.0214328,0.47168237
1.0172579,0.48584113
1.0172579,0.48584118
1.0134153,0.49999994
1.0134152,0.5
1.0101128,0.51315784
1.0101127,0.5131579
1.0070443,0.52631575
1.0070443,0.52631581
1.0041875,0.53947365
1.0041875,0.53947371
1.0015221,0.55263156
1.0015221,0.55263162
0.99902992,0.56578946
0.99902991,0.56578952
0.99669508,0.57894737
0.99669507,0.57894742
0.99245514,0.60526305
0.99245512,0.60526317
0.98699415,0.64473671
0.98699413,0.64473689
0.98237406,0.68421036
0.98237404,0.68421054
0.97842505,0.72368407
0.97842504,0.72368425
0.97502197,0.76315773
0.97502196,0.7631579
0.9707632,0.8223682
0.97076319,0.82236844
0.96728766,0.88157868
0.96728765,0.88157892
0.96443224,0.94078922
0.96443223,0.94078946
0.96207926,0.99999976
0.96207925,1
0.96004677,1.0624998
0.96004676,1.0625
0.95840248,1.1249998
0.95840247,1.125
0.95709091,1.1874998
0.9570909,1.1875
0.95607255,1.2499998
0.95607254,1.25
0.9553245,1.3124998
